"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01001","5","10","71","0","2016","1","",794,8115,8169,8222,72907198,42086439,680294,687,"",0.96,0.90,0.90,0.91,0.90,1.01,1.00,1.00,"",22,2.8,283,3.6,328,4.2,352,4.5,4128933,6.0,2340045,5.9,-86909,-11.3,13,1.9
"01003","0","10","70","0","2016","1","",5740,65729,66796,69110,543699056,301640185,4228162,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",271,5.0,2692,4.3,2716,4.2,2675,4.0,20912856,4.0,15227169,5.3,-1099294,-20.6,-1,-0.2
"01003","1","10","71","0","2016","1","",32,330,328,345,4814659,0,0,1108,"",0.89,0.25,0.25,0.25,0.31,0.00,0.00,1.22,"",-1,-3.0,15,4.8,-1,-0.3,20,6.2,-229672,-4.6,0,0.0,0,0.0,-93,-7.7
"01003","2","10","71","0","2016","1","",34,1099,1180,1182,9734204,0,0,649,"",0.83,0.52,0.54,0.52,0.54,0.00,0.00,1.03,"",0,0.0,12,1.1,-12,-1.0,-20,-1.7,256825,2.7,0,0.0,0,0.0,21,3.3
"01003","3","10","71","0","2016","1","",84,7668,7728,7845,73056635,3248468,20055,725,"",0.84,1.15,1.13,1.11,1.54,1.01,0.91,1.36,"",1,1.2,231,3.1,153,2.0,210,2.8,475997,0.7,161517,5.2,-8312,-29.3,-15,-2.0
"01003","5","10","71","0","2016","1","",5590,56632,57560,59738,456093558,298391717,4208107,605,"",1.00,1.02,1.02,1.02,0.99,1.00,1.00,0.97,"",271,5.1,2434,4.5,2576,4.7,2465,4.3,20409706,4.7,15065652,5.3,-1090982,-20.6,1,0.2
"01005","0","10","70","0","2016","1","",558,7996,7996,7980,68266147,37876625,570948,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-115,-1.4,-149,-1.8,-265,-3.2,-967101,-1.4,670,0.0,-224258,-28.2,5,0.8
"01005","1","10","71","0","2016","1","",9,48,50,50,708423,0,0,1105,"",2.59,0.30,0.32,0.32,0.36,0.00,0.00,1.15,"",0,0.0,-10,-17.2,-10,-16.7,-10,-16.7,-87799,-11.0,0,0.0,0,0.0,73,7.1
"01005","2","10","71","0","2016","1","",19,620,609,607,4984093,0,0,626,"",4.78,2.39,2.31,2.32,2.20,0.00,0.00,0.94,"",-1,-5.0,-19,-3.0,-38,-5.9,-37,-5.7,-71460,-1.4,0,0.0,0,0.0,22,3.6
"01005","3","10","71","0","2016","1","",33,919,921,921,7841412,431822,7675,655,"",3.39,1.13,1.13,1.13,1.31,1.07,2.59,1.17,"",-1,-2.9,-32,-3.4,-25,-2.6,-27,-2.8,262387,3.5,-50137,-10.4,-3030,-28.3,40,6.5
"01005","5","10","71","0","2016","1","",497,6409,6416,6402,54732219,37444803,563273,657,"",0.92,0.95,0.95,0.95,0.94,1.00,0.99,0.99,"",3,0.6,-54,-0.8,-76,-1.2,-191,-2.9,-1070229,-1.9,50807,0.1,-221228,-28.2,-2,-0.3
"01007","0","10","70","0","2016","1","",338,4147,4131,4213,38888960,17775152,328942,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.5,156,3.9,172,4.3,156,3.8,3771845,10.7,1577911,9.7,-31636,-8.8,43,6.4
"01007","1","10","71","0","2016","1","",9,78,76,76,1222484,0,0,1227,"",4.27,0.95,0.93,0.91,1.09,0.00,0.00,1.17,"",-1,-10.0,2,2.6,2,2.7,1,1.3,-38705,-3.1,0,0.0,0,0.0,-67,-5.2
"01007","2","10","71","0","2016","1","",11,234,236,233,1938320,0,0,636,"",4.57,1.74,1.74,1.68,1.50,0.00,0.00,0.87,"",0,0.0,-4,-1.7,-5,-2.1,-7,-2.9,-18247,-0.9,0,0.0,0,0.0,8,1.3
"01007","3","10","71","0","2016","1","",31,965,973,974,7508641,357776,3621,595,"",5.26,2.29,2.30,2.26,2.21,1.89,2.12,0.97,"",0,0.0,25,2.7,37,4.0,23,2.4,154703,2.1,80363,29.0,1151,46.6,-5,-0.8
"01007","5","10","71","0","2016","1","",287,2870,2846,2930,28219515,17417376,325321,753,"",0.88,0.82,0.82,0.82,0.85,0.99,0.99,1.04,"",6,2.1,133,4.9,138,5.1,139,5.0,3674094,15.0,1497548,9.4,-32787,-9.2,65,9.4
"01009","0","10","70","0","2016","1","",747,8072,8089,8146,65463160,33394075,416977,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.6,179,2.3,180,2.3,151,1.9,2160695,3.4,1737961,5.5,-96863,-18.9,8,1.3
"01009","1","10","71","0","2016","1","",10,99,94,99,1235811,0,0,977,"",2.15,0.62,0.59,0.62,0.65,0.00,0.00,1.08,"",-1,-9.1,10,11.2,9,10.6,10,11.2,-7655,-0.6,0,0.0,0,0.0,-114,-10.4
"01009","2","10","71","0","2016","1","",10,163,164,163,1226541,0,0,578,"",1.88,0.62,0.62,0.61,0.56,0.00,0.00,0.92,"",0,0.0,10,6.5,9,5.8,4,2.5,13673,1.1,0,0.0,0,0.0,-21,-3.5
"01009","3","10","71","0","2016","1","",44,1653,1654,1662,14707955,675193,9477,683,"",3.38,2.02,2.00,1.99,2.57,1.90,4.37,1.28,"",1,2.3,27,1.7,30,1.8,23,1.4,368928,2.6,61498,10.0,1051,12.5,6,0.9
"01009","5","10","71","0","2016","1","",683,6157,6177,6222,48292853,32718882,407500,601,"",0.94,0.90,0.90,0.90,0.87,0.99,0.98,0.96,"",19,2.9,132,2.2,132,2.2,114,1.9,1785749,3.8,1676463,5.4,-97914,-19.4,11,1.9
"01011","0","10","70","0","2016","1","",144,2844,2889,2924,22084424,12346640,276772,589,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.4,-38,-1.3,-21,-0.7,-43,-1.4,209256,1.0,67301,0.5,-44767,-13.9,13,2.3
"01011","1","10","71","0","2016","1","",5,38,39,38,468750,0,0,941,"",5.57,0.67,0.68,0.66,0.73,0.00,0.00,1.10,"",0,0.0,3,8.6,5,14.7,2,5.6,-15759,-3.3,0,0.0,0,0.0,-124,-11.6
"01011","2","10","71","0","2016","1","",9,252,253,251,2258739,0,0,689,"",8.77,2.73,2.66,2.62,3.08,0.00,0.00,1.15,"",0,0.0,0,0.0,1,0.4,-1,-0.4,2625,0.1,0,0.0,0,0.0,0,0.0
"01011","3","10","71","0","2016","1","",14,400,398,399,3056799,0,0,589,"",5.58,1.38,1.35,1.33,1.58,0.00,0.00,1.17,"",0,0.0,-16,-3.8,-16,-3.9,-17,-4.1,-25100,-0.8,0,0.0,0,0.0,18,3.2
"01011","5","10","71","0","2016","1","",116,2154,2199,2236,16300136,12346640,276772,571,"",0.83,0.90,0.90,0.91,0.87,1.01,1.01,0.96,"",2,1.8,-25,-1.1,-11,-0.5,-27,-1.2,247490,1.5,67301,0.5,-44767,-13.9,14,2.5
"01013","0","10","70","0","2016","1","",485,6837,6820,6804,53897004,33095491,599859,608,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,3.9,103,1.5,25,0.4,-82,-1.2,1500284,2.9,999653,3.1,-175149,-22.6,16,2.7
"01013","1","10","71","0","2016","1","",5,41,42,43,413578,0,0,757,"",1.65,0.30,0.31,0.32,0.27,0.00,0.00,0.85,"",0,0.0,1,2.5,-1,-2.3,3,7.5,-95644,-18.8,0,0.0,0,0.0,-198,-20.7
"01013","2","10","71","0","2016","1","",12,100,99,99,926407,0,0,717,"",3.47,0.45,0.44,0.44,0.52,0.00,0.00,1.16,"",1,9.1,0,0.0,1,1.0,-3,-2.9,38310,4.3,0,0.0,0,0.0,34,5.0
"01013","3","10","71","0","2016","1","",24,799,795,805,6739025,113092,3821,648,"",2.84,1.15,1.14,1.15,1.43,0.32,1.23,1.25,"",0,0.0,0,0.0,-1,-0.1,12,1.5,-21619,-0.3,19506,20.8,1776,86.8,-5,-0.8
"01013","5","10","71","0","2016","1","",444,5897,5884,5857,45817994,32982399,596038,599,"",0.94,1.02,1.02,1.02,1.00,1.01,1.00,0.98,"",17,4.0,102,1.8,26,0.4,-94,-1.6,1579237,3.6,980147,3.1,-176925,-22.9,19,3.3
"01015","0","10","70","0","2016","1","",2497,43099,43219,43670,395065324,170963945,2672782,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",40,1.6,-228,-0.5,-336,-0.8,25,0.1,13166922,3.4,2270539,1.3,-759031,-22.1,26,3.9
"01015","1","10","71","0","2016","1","",42,3646,3664,3655,59038532,0,0,1243,"",2.70,4.26,4.28,4.24,5.17,0.00,0.00,1.22,"",2,5.0,-201,-5.2,-183,-4.8,-47,-1.3,7129530,13.7,0,0.0,0,0.0,192,18.3
"01015","2","10","71","0","2016","1","",26,1682,1709,1731,18894187,0,0,851,"",1.46,1.20,1.20,1.21,1.44,0.00,0.00,1.20,"",-1,-3.7,-35,-2.0,-20,-1.2,-22,-1.3,41584,0.2,0,0.0,0,0.0,14,1.7
"01015","3","10","71","0","2016","1","",70,6197,6199,6179,57050278,946255,7426,709,"",1.61,1.41,1.40,1.38,1.65,0.52,0.53,1.18,"",0,0.0,27,0.4,34,0.6,-14,-0.2,668468,1.2,-20342,-2.1,-2862,-27.8,7,1.0
"01015","5","10","71","0","2016","1","",2359,31574,31647,32105,260082327,170017690,2665356,630,"",0.97,0.87,0.87,0.87,0.77,1.01,1.00,0.89,"",39,1.7,-19,-0.1,-167,-0.5,108,0.3,5327340,2.1,2290881,1.4,-756169,-22.1,14,2.3
"01017","0","10","70","0","2016","1","",597,7941,8034,8064,67332497,35608598,452706,646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,2.4,35,0.4,59,0.7,67,0.8,1345279,2.0,557255,1.6,-240870,-34.7,8,1.3
"01017","1","10","71","0","2016","1","",5,49,50,50,552633,0,0,856,"",1.34,0.31,0.31,0.31,0.28,0.00,0.00,0.91,"",0,0.0,-1,-2.0,-1,-2.0,0,0.0,-98337,-15.1,0,0.0,0,0.0,-139,-14.0
"01017","2","10","71","0","2016","1","",14,145,147,146,1159369,0,0,611,"",3.29,0.56,0.56,0.55,0.52,0.00,0.00,0.93,"",0,0.0,0,0.0,3,2.1,1,0.7,111928,10.7,0,0.0,0,0.0,54,9.7
"01017","3","10","71","0","2016","1","",60,1631,1627,1650,14152032,328184,3771,665,"",5.76,2.02,1.98,2.00,2.41,0.87,1.60,1.20,"",0,0.0,-43,-2.6,-66,-3.9,-35,-2.1,-207209,-1.4,36991,12.7,-819,-17.8,9,1.4
"01017","5","10","71","0","2016","1","",518,6116,6210,6218,51468463,35280414,448935,640,"",0.90,0.91,0.91,0.91,0.90,1.00,1.00,0.99,"",14,2.8,79,1.3,123,2.0,101,1.7,1538897,3.1,520264,1.5,-240051,-34.8,8,1.3
"01019","0","10","70","0","2016","1","",407,4957,4981,5055,39946277,20816753,321542,615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.7,-85,-1.7,-106,-2.1,-65,-1.3,-109234,-0.3,-370388,-1.7,-221165,-40.8,9,1.5
"01019","1","10","71","0","2016","1","",8,51,47,46,535927,0,0,859,"",3.15,0.52,0.48,0.46,0.46,0.00,0.00,0.96,"",0,0.0,1,2.0,-4,-7.8,-1,-2.1,-95542,-15.1,0,0.0,0,0.0,-126,-12.8
"01019","2","10","71","0","2016","1","",11,86,94,95,796710,0,0,669,"",3.79,0.54,0.57,0.57,0.60,0.00,0.00,1.07,"",0,0.0,2,2.4,0,0.0,3,3.3,17446,2.2,0,0.0,0,0.0,3,0.5
"01019","3","10","71","0","2016","1","",23,1138,1131,1138,9240280,353761,4740,626,"",3.24,2.26,2.22,2.20,2.65,1.60,2.84,1.19,"",0,0.0,-8,-0.7,-12,-1.0,-7,-0.6,65909,0.7,16235,4.8,-1290,-21.4,9,1.5
"01019","5","10","71","0","2016","1","",365,3682,3709,3776,29373360,20462992,316802,607,"",0.93,0.88,0.88,0.88,0.86,1.00,0.99,0.98,"",-3,-0.8,-80,-2.1,-90,-2.4,-60,-1.6,-97047,-0.3,-386623,-1.9,-219875,-41.0,10,1.7
"01021","0","10","70","0","2016","1","",757,9025,9132,9203,74663265,42806957,812318,630,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.3,-83,-0.9,10,0.1,16,0.2,510906,0.7,731101,1.7,-164457,-16.8,6,1.0
"01021","1","10","71","0","2016","1","",6,62,61,60,639881,0,0,807,"",1.27,0.35,0.34,0.33,0.30,0.00,0.00,0.88,"",-1,-14.3,4,6.9,4,7.0,1,1.7,-88501,-12.2,0,0.0,0,0.0,-159,-16.5
"01021","2","10","71","0","2016","1","",14,236,240,244,2170336,0,0,696,"",2.60,0.81,0.80,0.81,0.87,0.00,0.00,1.09,"",0,0.0,-6,-2.5,0,0.0,-3,-1.2,-3672,-0.2,0,0.0,0,0.0,8,1.2
"01021","3","10","71","0","2016","1","",33,1499,1489,1516,11772258,1306712,9479,603,"",2.50,1.63,1.59,1.61,1.80,2.87,2.24,1.12,"",0,0.0,-1,-0.1,-2,-0.1,2,0.1,-125024,-1.1,-79612,-5.7,-4554,-32.5,-6,-1.0
"01021","5","10","71","0","2016","1","",704,7228,7342,7383,60080790,41500245,802839,632,"",0.96,0.95,0.95,0.95,0.95,0.98,0.99,1.00,"",11,1.6,-80,-1.1,8,0.1,16,0.2,728103,1.2,810713,2.0,-159903,-16.6,10,1.6
"01023","0","10","70","0","2016","1","",287,3283,3300,3322,37429002,17277611,229609,872,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.9,-60,-1.8,-4,-0.1,-45,-1.3,-1431389,-3.7,-305180,-1.7,-75388,-24.7,-24,-2.7
"01023","1","10","71","0","2016","1","",7,25,26,27,213737,0,0,632,"",3.91,0.38,0.40,0.41,0.20,0.00,0.00,0.50,"",-1,-12.5,-3,-10.7,0,0.0,1,3.8,-19065,-8.2,0,0.0,0,0.0,-40,-6.0
"01023","2","10","71","0","2016","1","",11,67,65,70,499571,0,0,571,"",5.38,0.63,0.60,0.64,0.40,0.00,0.00,0.64,"",0,0.0,-2,-2.9,-8,-11.0,-2,-2.8,-4892,-1.0,0,0.0,0,0.0,27,5.0
"01023","3","10","71","0","2016","1","",23,397,385,386,3072312,186680,1492,607,"",4.60,1.19,1.14,1.13,0.94,1.02,1.25,0.81,"",0,0.0,-4,-1.0,-11,-2.8,-11,-2.8,19940,0.7,20680,12.5,-175,-10.5,17,2.9
"01023","5","10","71","0","2016","1","",246,2794,2824,2839,33643382,17090931,228117,918,"",0.88,1.01,1.01,1.01,1.06,1.00,1.00,1.05,"",9,3.8,-51,-1.8,15,0.5,-33,-1.1,-1427372,-4.1,-325860,-1.9,-75213,-24.8,-31,-3.3
"01025","0","10","70","0","2016","1","",656,8049,8039,8153,72487813,36433534,465215,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,-129,-1.6,-141,-1.7,-250,-3.0,-1427902,-1.9,-1493191,-3.9,-172940,-27.1,1,0.1
"01025","1","10","71","0","2016","1","",14,83,74,77,1099819,0,0,1085,"",3.42,0.52,0.46,0.48,0.53,0.00,0.00,1.08,"",1,7.7,-1,-1.2,-4,-5.1,-6,-7.2,-59849,-5.2,0,0.0,0,0.0,-7,-0.6
"01025","2","10","71","0","2016","1","",18,348,348,351,3357127,0,0,740,"",3.85,1.33,1.32,1.31,1.39,0.00,0.00,1.06,"",0,0.0,2,0.6,-6,-1.7,-3,-0.8,28234,0.8,0,0.0,0,0.0,11,1.5
"01025","3","10","71","0","2016","1","",38,1298,1316,1328,11255504,1050358,11141,659,"",3.32,1.59,1.60,1.59,1.78,2.71,4.61,1.12,"",2,5.6,-40,-3.0,0,0.0,-4,-0.3,-42186,-0.4,76763,7.9,-1503,-11.9,5,0.8
"01025","5","10","71","0","2016","1","",586,6320,6301,6397,56775363,35383176,454074,689,"",0.92,0.93,0.93,0.93,0.92,0.98,0.98,0.99,"",-6,-1.0,-90,-1.4,-131,-2.0,-237,-3.6,-1354101,-2.3,-1569954,-4.2,-171437,-27.4,0,0.0
"01027","0","10","70","0","2016","1","",212,3860,3869,3901,30893444,17387577,197114,613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.4,4,0.1,-1,0.0,44,1.1,1156071,3.9,689523,4.1,-130415,-39.8,21,3.5
"01027","1","10","71","0","2016","1","",6,51,50,50,632466,0,0,967,"",4.54,0.67,0.65,0.65,0.71,0.00,0.00,1.08,"",0,0.0,-2,-3.8,-2,-3.8,0,0.0,-65990,-9.4,0,0.0,0,0.0,-73,-7.0
"01027","2","10","71","0","2016","1","",9,50,49,49,450503,0,0,702,"",5.96,0.40,0.38,0.38,0.44,0.00,0.00,1.13,"",0,0.0,-3,-5.7,-3,-5.8,-4,-7.5,-19638,-4.2,0,0.0,0,0.0,15,2.2
"01027","3","10","71","0","2016","1","",20,850,861,864,6180153,436314,3763,554,"",5.41,2.17,2.18,2.16,2.29,2.36,3.67,1.06,"",0,0.0,21,2.5,29,3.5,33,4.0,-56466,-0.9,24783,6.0,-2015,-34.9,-24,-4.2
"01027","5","10","71","0","2016","1","",177,2909,2909,2938,23630322,16951263,193351,623,"",0.86,0.89,0.89,0.89,0.90,0.99,0.99,1.01,"",5,2.9,-12,-0.4,-25,-0.9,15,0.5,1298165,5.8,664740,4.1,-128400,-39.9,36,6.1
"01029","0","10","70","0","2016","1","",212,2204,2193,2242,21763877,10331069,263223,757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,3.4,31,1.4,10,0.5,71,3.3,439309,2.1,-51332,-0.5,-30449,-10.4,3,0.4
"01029","1","10","71","0","2016","1","",6,37,43,43,530943,0,0,996,"",4.54,0.85,0.99,0.97,0.84,0.00,0.00,0.90,"",0,0.0,-5,-11.9,-1,-2.3,-2,-4.4,-57896,-9.8,0,0.0,0,0.0,-41,-4.0
"01029","2","10","71","0","2016","1","",10,132,124,120,754813,0,0,463,"",6.62,1.85,1.72,1.63,1.04,0.00,0.00,0.60,"",0,0.0,18,15.8,14,12.7,9,8.1,-30732,-3.9,0,0.0,0,0.0,-78,-14.4
"01029","3","10","71","0","2016","1","",33,627,631,621,5432523,726424,11470,667,"",8.93,2.80,2.81,2.70,2.86,6.61,8.38,1.03,"",0,0.0,30,5.0,36,6.1,24,4.0,211905,4.1,15103,2.1,2699,30.8,-6,-0.9
"01029","5","10","71","0","2016","1","",163,1408,1395,1458,15045598,9604645,251753,815,"",0.79,0.76,0.75,0.77,0.81,0.94,0.96,1.07,"",7,4.5,-12,-0.8,-39,-2.7,40,2.8,316032,2.1,-66435,-0.7,-33148,-11.6,19,2.4
"01031","0","10","70","0","2016","1","",1062,14916,15055,15052,118995605,70071134,1120459,610,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,2.0,-45,-0.3,28,0.2,-54,-0.4,1568894,1.3,1034433,1.5,-288359,-20.5,9,1.5
"01031","1","10","71","0","2016","1","",16,243,239,234,3239303,0,0,1044,"",2.42,0.82,0.80,0.79,0.94,0.00,0.00,1.17,"",0,0.0,31,14.6,22,10.1,17,7.8,-63931,-1.9,0,0.0,0,0.0,-136,-11.5
"01031","2","10","71","0","2016","1","",20,391,424,427,3606740,0,0,670,"",2.64,0.81,0.86,0.86,0.91,0.00,0.00,1.08,"",0,0.0,0,0.0,8,1.9,13,3.1,131575,3.8,0,0.0,0,0.0,13,2.0
"01031","3","10","71","0","2016","1","",41,1788,1832,1837,16556921,1555029,9174,700,"",2.21,1.18,1.19,1.19,1.59,2.09,1.57,1.34,"",-1,-2.4,-24,-1.3,3,0.2,-2,-0.1,281179,1.7,134177,9.4,-3472,-27.5,15,2.2
"01031","5","10","71","0","2016","1","",985,12494,12560,12554,95592641,68516105,1111285,587,"",0.96,0.99,0.99,0.99,0.94,0.99,1.00,0.96,"",22,2.3,-52,-0.4,-5,0.0,-82,-0.6,1220071,1.3,900256,1.3,-284887,-20.4,10,1.7
"01033","0","10","70","0","2016","1","",1285,23673,23773,23970,237564914,117479524,2063770,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,585,2.5,509,2.2,388,1.6,1833074,0.8,5005153,4.5,-389254,-15.9,-10,-1.3
"01033","1","10","71","0","2016","1","",14,697,685,690,14518136,0,0,1617,"",1.75,1.48,1.46,1.46,2.11,0.00,0.00,1.44,"",0,0.0,-3,-0.4,-1,-0.1,-2,-0.3,88557,0.6,0,0.0,0,0.0,15,0.9
"01033","2","10","71","0","2016","1","",18,610,697,687,5425377,0,0,628,"",1.97,0.80,0.89,0.87,0.69,0.00,0.00,0.81,"",-1,-5.3,-8,-1.3,9,1.3,3,0.4,-102489,-1.9,0,0.0,0,0.0,-13,-2.0
"01033","3","10","71","0","2016","1","",46,3313,3330,3367,30015655,1013998,11183,692,"",2.05,1.38,1.37,1.37,1.45,0.81,1.04,1.05,"",-1,-2.1,37,1.1,44,1.3,37,1.1,1413941,4.9,7757,0.8,-5023,-31.0,25,3.7
"01033","5","10","71","0","2016","1","",1207,19053,19061,19226,187605746,116465526,2052587,755,"",0.97,0.95,0.95,0.95,0.93,1.01,1.00,0.98,"",1,0.1,559,3.0,457,2.5,350,1.9,433065,0.2,4997396,4.5,-384231,-15.8,-17,-2.2
"01035","0","10","70","0","2016","1","",251,3447,3416,3409,27821874,15624851,255950,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-30,-0.9,-60,-1.7,-150,-4.2,277298,1.0,-41711,-0.3,-91105,-26.3,20,3.3
"01035","1","10","71","0","2016","1","",4,33,24,28,274474,0,0,745,"",2.56,0.48,0.35,0.42,0.34,0.00,0.00,0.82,"",0,0.0,1,3.1,-3,-11.1,-6,-17.6,-47844,-14.8,0,0.0,0,0.0,-55,-6.9
"01035","2","10","71","0","2016","1","",12,175,186,187,1880018,0,0,792,"",6.71,1.57,1.65,1.67,2.03,0.00,0.00,1.25,"",0,0.0,-3,-1.7,9,5.1,5,2.7,-114525,-5.7,0,0.0,0,0.0,-65,-7.6
"01035","3","10","71","0","2016","1","",20,488,502,507,4002569,71705,423,617,"",4.57,1.39,1.44,1.45,1.65,0.43,0.32,1.15,"",1,5.3,7,1.5,6,1.2,6,1.2,32937,0.8,7128,11.0,-152,-26.4,-3,-0.5
"01035","5","10","71","0","2016","1","",215,2751,2704,2687,21664813,15553146,255527,614,"",0.88,0.94,0.94,0.93,0.92,1.01,1.00,0.98,"",-2,-0.9,-35,-1.3,-72,-2.6,-155,-5.5,406730,1.9,-48839,-0.3,-90953,-26.3,30,5.1
"01037","0","10","70","0","2016","1","",120,1292,1299,1312,10992208,5921858,108223,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,5.3,17,1.3,29,2.3,26,2.0,434473,4.1,217741,3.8,-13961,-11.4,14,2.2
