Percentage_I_2004,Percentage_R_2004,County_FIPS,Percentage_D_2008,Percentage_R_2008,Percentage_D_2012,Percentage_I_2012,Percentage_R_2012,Percentage_D_2016,Percentage_I_2016,Percentage_R_2016,County,Inc_2013,Inc_2014,Inc_2015,Inc_Rank,Pct_Chg_2014,Pct_Chg_2015,Pct_Rank,State,Name,Labor_Force,Employed,Unemp_Level,Unemp_Rate,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black,pct_no_hs,pct_some_hs,pct_hs,pct_some_college,pct_associates,pct_bachelors,pct_graduate,pct_hs_less,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
7.75,69.0,1041.0,31.0,69.0,31.9,0.166666666667,67.5,26.59,0.62,72.15,Crenshaw,32065.0,32889.0,34228.0,25.0,2.6,4.1,7.0,AL," Crenshaw County, AL                      ","      6,920 ","      6,534 ",      386 ,5.6,13938.0,48.8,51.2,19.9,1.6,70.8,23.5,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,259.0,3737.0,3755.0,3905.0,31864196.0,19749636.0,425969.0,645.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8.0,3.2,29.0,0.8,33.0,0.9,135.0,3.6,1336211.0,4.4,494172.0,2.6,-84358.0,-16.5,16.0,2.5
6.0,76.0,1043.0,17.0,82.0,14.6,0.433333333333,84.2,10.0,1.085,87.81,Cullman,34141.0,34950.0,35923.0,16.0,2.4,2.8,41.0,AL," Cullman County, AL                       ","     38,370 ","     36,509 ","    1,861 ",4.9,80668.0,49.7,50.3,20.6,4.3,92.3,1.1,4.93868489675,12.5836915921,40.1578687716,19.3477341603,10.1945168793,7.6731975474,5.10430615265,57.6802452604,0.0,10.0,70.0,0.0,2016.0,1.0,,1795.0,28531.0,28380.0,28582.0,251979547.0,137524464.0,1972756.0,680.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.0,1.8,1683.0,6.3,1450.0,5.4,1476.0,5.4,16533514.0,7.0,12280560.0,9.8,-341631.0,-14.8,8.0,1.2
6.25,75.0,1045.0,27.0,72.0,28.5,0.266666666667,70.6,23.67,1.1,74.11,Dale,33416.0,33608.0,34107.0,26.0,0.6,1.5,63.0,AL," Dale County, AL                          ","     20,307 ","     19,177 ","    1,130 ",5.6,50013.0,49.4,50.6,17.1,5.9,70.2,19.1,4.337625011,8.46115494032,30.4542921665,29.1638560577,10.8513945508,9.5228319207,7.20884535296,43.2530721178,0.0,10.0,70.0,0.0,2016.0,1.0,,864.0,16565.0,16696.0,16736.0,212831212.0,77678259.0,1464316.0,982.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,0.8,321.0,2.0,466.0,2.9,432.0,2.6,17243615.0,8.8,5107385.0,7.0,-108361.0,-6.9,57.0,6.2
15.0,40.0,1047.0,67.0,33.0,69.7,0.0666666666667,30.0,68.47,0.315,30.88,Dallas,30035.0,30371.0,31595.0,44.0,1.1,4.0,8.0,AL," Dallas County, AL                        ","     15,721 ","     14,254 ","    1,467 ",9.3,42743.0,46.3,53.7,19.1,0.4,28.7,69.6,4.86003397592,17.0987517542,33.2816308442,20.9210429131,10.4771401137,7.51901912992,5.84238126893,55.2404165743,0.0,10.0,70.0,0.0,2016.0,1.0,,854.0,12660.0,12598.0,12667.0,110749002.0,56401626.0,1318860.0,674.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9.0,1.1,26.0,0.2,-196.0,-1.5,-175.0,-1.4,1279884.0,1.2,1256532.0,2.3,-180963.0,-12.1,14.0,2.1
7.5,70.0,1049.0,24.0,75.0,22.0,0.433333333333,76.8,14.11,1.19,83.48,DeKalb,27818.0,28751.0,29621.0,60.0,3.4,3.0,34.0,AL," DeKalb County, AL                        ","     30,156 ","     28,378 ","    1,778 ",5.9,71074.0,49.6,50.4,18.8,14.0,81.0,1.7,14.4589218431,16.214452607,36.6240764519,13.5369524491,9.14602058644,4.99084345465,5.02873260783,67.297450902,0.0,10.0,70.0,0.0,2016.0,1.0,,1152.0,20612.0,20745.0,20782.0,169072927.0,101624264.0,1385468.0,628.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,1.9,81.0,0.4,51.0,0.2,26.0,0.1,6279679.0,3.9,2294758.0,2.3,-678637.0,-32.9,22.0,3.6
5.75,77.0,1051.0,25.0,75.0,25.2,0.233333333333,74.0,22.85,1.145,74.83,Elmore,35447.0,36334.0,37561.0,10.0,2.5,3.4,21.0,AL," Elmore County, AL                        ","     36,649 ","     34,899 ","    1,750 ",4.8,80321.0,48.9,51.1,16.3,2.7,74.0,20.5,6.21841155235,9.78158844765,33.9386281588,19.4386281588,9.87545126354,13.5866425993,7.16064981949,49.9386281588,0.0,10.0,70.0,0.0,2016.0,1.0,,1329.0,19211.0,19348.0,19396.0,155963313.0,83758713.0,1119704.0,621.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,40.0,3.1,432.0,2.3,366.0,1.9,315.0,1.7,4309098.0,2.8,3422790.0,4.3,-332123.0,-22.9,5.0,0.8
7.75,69.0,1053.0,36.0,64.0,36.9,0.2,62.5,30.88,0.76,67.58,Escambia,28743.0,29590.0,30342.0,57.0,2.9,2.5,48.0,AL," Escambia County, AL                      ","     14,931 ","     13,970 ",      961 ,6.4,38042.0,51.6,48.4,19.7,2.0,60.9,32.4,3.6441416462,17.1868810901,42.5057434841,16.0381842668,7.8309435158,7.92204705696,4.87205894003,63.3367662204,0.0,10.0,70.0,0.0,2016.0,1.0,,830.0,12506.0,12660.0,12795.0,114486151.0,60648210.0,890544.0,696.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,22.0,2.7,-134.0,-1.1,6.0,0.0,-41.0,-0.3,-1033462.0,-0.9,2511100.0,4.3,-229219.0,-20.5,-3.0,-0.4
9.25,63.0,1055.0,30.0,69.0,30.1,0.433333333333,68.5,23.8,1.135,73.91,Etowah,31680.0,32943.0,34086.0,27.0,4.0,3.5,16.0,AL," Etowah County, AL                        ","     43,850 ","     41,292 ","    2,558 ",5.8,104126.0,48.3,51.7,20.4,3.5,78.7,15.3,6.62185014884,9.55821721569,31.39578762,26.7026316893,8.42615756593,10.8831462873,6.41220947296,47.5758549846,0.0,10.0,70.0,0.0,2016.0,1.0,,2058.0,35933.0,36006.0,36190.0,304472762.0,169534557.0,2413922.0,650.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11.0,0.5,1158.0,3.3,1273.0,3.7,1187.0,3.4,7818260.0,2.6,6118518.0,3.7,-758897.0,-23.9,-5.0,-0.8
7.75,69.0,1057.0,25.0,74.0,22.8,0.3,76.3,16.56,0.805,81.8,Fayette,28193.0,29109.0,30426.0,56.0,3.2,4.5,4.0,AL," Fayette County, AL                       ","      6,584 ","      6,150 ",      434 ,6.6,17019.0,49.7,50.3,23.9,0.8,85.5,12.2,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,336.0,4027.0,4048.0,4062.0,31488308.0,16370498.0,209713.0,599.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9.0,2.8,176.0,4.6,127.0,3.2,142.0,3.6,1194257.0,3.9,1079344.0,7.1,-67863.0,-24.4,1.0,0.2
9.25,63.0,1059.0,30.0,69.0,29.2,0.366666666667,69.7,18.37,1.22,79.18,Franklin,29425.0,30630.0,31614.0,43.0,4.1,3.2,28.0,AL," Franklin County, AL                      ","     13,874 ","     13,091 ",      783 ,5.6,31663.0,49.1,50.9,18.8,15.4,78.9,4.4,14.1552736785,16.3071911554,30.2058141257,18.8588914664,8.81496471053,7.90188046,3.75598440353,60.6682789596,0.0,10.0,70.0,0.0,2016.0,1.0,,560.0,10238.0,10259.0,10237.0,80751691.0,49677707.0,970757.0,606.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,407.0,4.1,331.0,3.3,238.0,2.4,628549.0,0.8,1070198.0,2.2,-207804.0,-17.6,-15.0,-2.4
5.0,80.0,1061.0,19.0,81.0,18.0,0.3,81.0,13.05,0.725,85.48,Geneva,30513.0,31267.0,32155.0,38.0,2.5,2.8,39.0,AL," Geneva County, AL                        ","     11,325 ","     10,719 ",      606 ,5.4,26816.0,48.9,51.1,21.9,3.5,84.2,9.5,11.7138000309,13.4858084789,32.7357956009,23.6491011178,7.44346571885,8.90640292587,2.06562612682,57.9354041106,0.0,10.0,70.0,0.0,2016.0,1.0,,489.0,5063.0,5063.0,5086.0,35831842.0,22371400.0,250529.0,544.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,0.8,218.0,4.5,258.0,5.4,190.0,3.9,-705975.0,-1.9,328587.0,1.5,-83899.0,-25.1,-36.0,-6.2
20.0,20.0,1063.0,83.0,17.0,84.7,0.1,15.0,82.39,0.18,17.23,Greene,31793.0,29843.0,31029.0,52.0,-6.1,4.0,10.0,AL," Greene County, AL                        ","      2,954 ","      2,677 ",      277 ,9.4,8798.0,46.8,53.2,20.7,0.4,17.7,80.7,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,153.0,1770.0,1783.0,1720.0,14205437.0,6545828.0,141028.0,622.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.3,62.0,3.6,55.0,3.2,-12.0,-0.7,1202527.0,9.2,555641.0,9.3,-37831.0,-21.2,41.0,7.1
14.5,42.0,1065.0,61.0,39.0,62.6,0.1,37.1,59.57,0.405,39.6,Hale,33319.0,33215.0,34726.0,23.0,-0.3,4.5,3.0,AL," Hale County, AL                          ","      6,630 ","      6,133 ",      497 ,7.5,15393.0,47.2,52.8,20.4,1.1,39.8,58.3,,,,,,,,,0.0,10.0,70.0,0.0,2016.0,1.0,,266.0,2713.0,2735.0,2717.0,22447706.0,10534694.0,175672.0,634.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-2.0,-0.7,-50.0,-1.8,-25.0,-0.9,-44.0,-1.6,-609348.0,-2.6,-652864.0,-5.8,-31808.0,-15.3,-8.0,-1.2
