County_FIPS,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1085,0,10,70,0,2016,1,,161,2421,2382,2370,25473862,12258885,243599,820,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,5.2,161,7.1,107,4.7,116,5.1,954592,3.9,1174454,10.6,16535,7.3,-13,-1.6
1087,0,10,70,0,2016,1,,235,4726,4710,4713,49693872,11407073,152831,811,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,0.9,55,1.2,5,0.1,-13,-0.3,548923,1.1,622591,5.8,-35600,-18.9,7,0.9
1089,0,10,70,0,2016,1,,9326,188351,189098,189941,2622156450,897653943,15396012,1066,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,334,3.7,5287,2.9,5603,3.1,6398,3.5,111734437,4.5,34680267,4.0,-3190677,-17.2,13,1.2
1091,0,10,70,0,2016,1,,512,7226,7195,7249,69248829,34638987,496828,737,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,1.8,386,5.6,320,4.7,445,6.5,3565467,5.4,1743269,5.3,-100328,-16.8,-2,-0.3
1093,0,10,70,0,2016,1,,621,9767,9806,9812,76063041,44505278,1079828,597,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7,1.1,421,4.5,307,3.2,353,3.7,2982204,4.1,2722426,6.5,-63159,-5.5,1,0.2
1095,0,10,70,0,2016,1,,2036,34674,34882,35359,289526458,167935994,2585349,637,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,34,1.7,975,2.9,914,2.7,1205,3.5,9851987,3.5,9457463,6.0,-487239,-15.9,3,0.5
1097,0,10,70,0,2016,1,,9882,166578,167101,168377,1781392929,807602885,13942579,819,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,368,3.9,1812,1.1,1344,0.8,1700,1.0,-13362703,-0.7,11777996,1.5,-3485496,-20.0,-14,-1.7
1099,0,10,70,0,2016,1,,438,6084,6115,6110,59105882,29141161,394283,745,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,1.4,20,0.3,31,0.5,28,0.5,-389656,-0.7,220299,0.8,-144130,-26.8,-8,-1.1
1101,0,10,70,0,2016,1,,6380,128920,129721,130023,1364790246,540912519,8426803,810,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,124,2.0,1941,1.5,2269,1.8,1967,1.5,34712642,2.6,18057864,3.5,-1886792,-18.3,8,1.0
1103,0,10,70,0,2016,1,,2748,46012,45888,46306,485546519,237756814,3686816,811,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,73,2.7,-358,-0.8,-159,-0.3,127,0.3,11931629,2.5,5711013,2.5,-1127145,-23.4,22,2.8
1105,0,10,70,0,2016,1,,153,2035,2036,2074,15514329,7026496,91030,583,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5,3.4,-39,-1.9,-55,-2.6,-46,-2.2,644704,4.3,494992,7.6,-23416,-20.5,37,6.8
1107,0,10,70,0,2016,1,,332,3780,3761,3775,33816185,14994925,217337,690,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3,0.9,95,2.6,67,1.8,33,0.9,1266105,3.9,415101,2.8,-68708,-24.0,15,2.2
1109,0,10,70,0,2016,1,,698,13769,13828,13912,130710246,61605233,1063163,727,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,1.2,228,1.7,190,1.4,447,3.3,2595658,2.0,830195,1.4,-346436,-24.6,0,0.0
1111,0,10,70,0,2016,1,,372,4569,4626,4654,36272841,19985152,324626,604,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5,1.4,-254,-5.3,-189,-3.9,-169,-3.5,77481,0.2,-731720,-3.5,-133364,-29.1,26,4.5
1113,0,10,70,0,2016,1,,884,13444,13527,13630,117294711,59185443,880370,667,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,23,2.7,135,1.0,73,0.5,124,0.9,-718931,-0.6,2466621,4.3,-207517,-19.1,-9,-1.3
1115,0,10,70,0,2016,1,,1431,18687,18806,18881,162615061,89884671,1429927,666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,34,2.4,490,2.7,452,2.5,519,2.8,6406197,4.1,4942234,5.8,-299004,-17.3,10,1.5
1117,0,10,70,0,2016,1,,5623,82825,83703,83526,1073346265,472504502,7109850,991,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,274,5.1,1806,2.2,1949,2.4,1359,1.7,21314142,2.0,18280066,4.0,-1248951,-14.9,0,0.0
1119,0,10,70,0,2016,1,,233,2997,3016,3068,27050435,11432620,241564,687,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.4,1,0.0,-9,-0.3,-31,-1.0,280859,1.0,52497,0.5,-15500,-6.0,10,1.5
1121,0,10,70,0,2016,1,,1325,28992,28899,29149,306851771,151169583,2100026,814,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,13,1.0,-185,-0.6,-420,-1.4,-441,-1.5,6635971,2.2,-311480,-0.2,-822484,-28.1,27,3.4
1123,0,10,70,0,2016,1,,805,13257,13432,13562,104824813,62148714,1121231,601,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,18,2.3,239,1.8,322,2.5,390,3.0,2552338,2.5,1876536,3.1,-254564,-18.5,0,0.0
1125,0,10,70,0,2016,1,,4429,90396,90941,90947,943820659,394037546,5523373,800,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,135,3.1,397,0.4,497,0.5,196,0.2,7738354,0.8,2415898,0.6,-1880853,-25.4,3,0.4
1127,0,10,70,0,2016,1,,1362,17831,17840,17984,156619364,78550585,1222700,674,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15,1.1,-424,-2.3,-427,-2.3,-297,-1.6,-3244120,-2.0,-1046543,-1.3,-281465,-18.7,1,0.1
1129,0,10,70,0,2016,1,,256,3508,3497,3566,51254708,18537889,227104,1119,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15,6.2,-22,-0.6,-35,-1.0,59,1.7,-172406,-0.3,106786,0.6,-80551,-26.2,-4,-0.4
1131,0,10,70,0,2016,1,,228,2765,2785,2708,27699481,12385425,196401,774,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-2,-0.9,54,2.0,58,2.1,-12,-0.4,82767,0.3,508731,4.3,546,0.3,-7,-0.9
1133,0,10,70,0,2016,1,,471,7187,7248,7286,57544099,36095770,590022,611,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,1.3,-17,-0.2,41,0.6,46,0.6,1751125,3.1,2490918,7.4,-151320,-20.4,16,2.7
1999,0,10,70,0,2016,1,,11777,48866,50585,50133,829577992,355983884,7478278,1280,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,861,7.9,4780,10.8,4271,9.2,4153,9.0,57097804,7.4,32283147,10.0,-532411,-6.6,-27,-2.1
2013,0,10,70,0,2016,1,,105,2390,3318,3209,32966224,30812713,758057,853,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.9,51,2.2,329,11.0,249,8.4,7674338,30.3,7683023,33.2,101676,15.5,149,21.2
2016,0,10,70,0,2016,1,,168,4183,4752,4652,62080155,58987288,1316551,1054,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.6,-257,-5.8,234,5.2,159,3.5,8609315,16.1,8916935,17.8,47321,3.7,137,14.9
2020,0,10,70,0,2016,1,,8354,149194,149651,149293,2068859693,1307989816,23780557,1065,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,84,1.0,-1172,-0.8,-1665,-1.1,-2265,-1.5,-95714672,-4.4,-62283767,-4.5,-4181673,-15.0,-37,-3.4
2050,0,10,70,0,2016,1,,374,6669,6545,6771,64766398,40503697,809348,748,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-3,-0.8,26,0.4,-261,-3.8,-20,-0.3,-1217512,-1.8,-1488098,-3.5,-101331,-11.1,-4,-0.5
2060,0,10,70,0,2016,1,,112,523,556,556,6690617,3949652,82026,944,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,14,14.3,38,7.8,50,9.9,22,4.1,422515,6.7,331239,9.2,-1564,-1.9,-5,-0.5
2068,0,10,70,0,2016,1,,130,861,897,913,13893942,9627433,175634,1200,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.6,3,0.3,40,4.7,39,4.5,-489105,-3.4,-109924,-1.1,-23948,-12.0,-82,-6.4
2070,0,10,70,0,2016,1,,154,2396,2517,2394,23851300,17266052,462206,753,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.3,20,0.8,5,0.2,-25,-1.0,-524146,-2.2,-498116,-2.8,81256,21.3,-17,-2.2
2090,0,10,70,0,2016,1,,2265,34636,34802,35131,426128958,230970445,4323489,940,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-9,-0.4,-480,-1.4,-564,-1.6,-644,-1.8,-2449524,-0.6,-8411432,-3.5,-768024,-15.1,9,1.0
2100,0,10,70,0,2016,1,,158,656,685,737,6958161,3520315,67852,773,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7,4.6,-27,-4.0,-26,-3.7,-45,-5.8,460812,7.1,27179,0.8,-9141,-11.9,84,12.2
2105,0,10,70,0,2016,1,,137,566,570,580,4952303,2159803,48463,666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1,-0.7,2,0.4,-15,-2.6,-10,-1.7,-209611,-4.1,-104286,-4.6,-9618,-16.6,-19,-2.8
2110,0,10,70,0,2016,1,,1120,16222,16354,16571,210245529,100135255,1810442,987,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15,1.4,-379,-2.3,-403,-2.4,-265,-1.6,-2167700,-1.0,66780,0.1,-168608,-8.5,10,1.0
2122,0,10,70,0,2016,1,,1973,18048,18156,18311,214965423,127102078,2424233,910,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,25,1.3,-558,-3.0,-516,-2.8,-519,-2.8,-9633338,-4.3,-6497581,-4.9,-485742,-16.7,-14,-1.5
2130,0,10,70,0,2016,1,,607,6328,6325,6402,71704705,37141808,727369,868,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,0.2,79,1.3,35,0.6,-51,-0.8,-1804834,-2.5,216071,0.6,-94766,-11.5,-25,-2.8
2150,0,10,70,0,2016,1,,485,5672,6296,6230,60280073,38449396,785159,764,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-7,-1.4,-173,-3.0,-102,-1.6,-269,-4.1,-5144315,-7.9,-5010843,-11.5,-260807,-24.9,-42,-5.2
2158,0,10,70,0,2016,1,,140,2225,2292,2296,14289474,6552842,127110,484,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,140,100.0,2225,100.0,2292,100.0,2296,100.0,14289474,100.0,6552842,100.0,127110,100.0,484,100.0
2164,0,10,70,0,2016,1,,127,630,643,686,4709112,3085983,72737,555,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-4,-3.1,44,7.5,32,5.2,24,3.6,52669,1.1,153935,5.3,-1806,-2.4,-23,-4.0
2170,0,10,70,0,2016,1,,2067,21538,21870,22024,213756094,144551930,2681152,754,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68,3.4,164,0.8,516,2.4,386,1.8,-416639,-0.2,-552614,-0.4,-392682,-12.8,-14,-1.8
2180,0,10,70,0,2016,1,,320,3735,3759,3838,41535520,27072285,507812,846,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-7,-2.1,-31,-0.8,-69,-1.8,-40,-1.0,-1587877,-3.7,-1603781,-5.6,-106677,-17.4,-21,-2.4
2185,0,10,70,0,2016,1,,254,15435,15441,15349,404678209,330683770,5691797,2020,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15,6.3,-659,-4.1,-1079,-6.5,-1426,-8.5,-35527400,-8.1,-29184442,-8.1,-1145730,-16.8,-37,-1.8
2188,0,10,70,0,2016,1,,181,2770,2721,2727,45537794,34829278,578060,1279,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,3.4,3,0.1,-32,-1.2,-38,-1.4,1514509,3.4,510064,1.5,-80456,-12.2,53,4.3
2195,0,10,70,0,2016,1,,162,1072,1111,1119,11004204,6090268,129289,769,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-7,-4.1,-110,-9.3,-83,-7.0,-99,-8.1,-1764007,-13.8,-1869254,-23.5,-60980,-32.0,-51,-6.2
2198,0,10,70,0,2016,1,,240,1848,1916,1985,17475493,10171853,196400,701,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3,1.3,8,0.4,27,1.4,50,2.6,387301,2.3,232208,2.3,-28173,-12.5,5,0.7
2220,0,10,70,0,2016,1,,381,3576,3717,3936,39439614,17821032,366980,811,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,-112,-3.0,-120,-3.1,-127,-3.1,-911301,-2.3,-998393,-5.3,-62760,-14.6,7,0.9
2230,0,10,70,0,2016,1,,127,392,407,446,4530160,3221573,64888,840,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,5.0,-30,-7.1,-30,-6.9,-3,-0.7,-273099,-5.7,-206094,-6.0,-15817,-19.6,-7,-0.8
2240,0,10,70,0,2016,1,,265,2399,2443,2472,40390051,25096090,563681,1274,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5,1.9,66,2.8,77,3.3,65,2.7,1042355,2.6,709881,2.9,-41448,-6.8,-4,-0.3
2261,0,10,70,0,2016,1,,566,3836,3948,4049,57146573,38820741,697702,1114,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,1.4,14,0.4,45,1.2,28,0.7,1378563,2.5,1671372,4.5,-76292,-9.9,18,1.6
2275,0,10,70,0,2016,1,,94,794,835,873,7196367,3906959,77698,664,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-2,-2.1,53,7.2,82,10.9,60,7.4,593190,9.0,529719,15.7,237,0.3,3,0.5
2282,0,10,70,0,2016,1,,47,222,216,236,2136607,1366944,26363,732,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,4.4,-2,-0.9,-19,-8.1,2,0.9,-76071,-3.4,22775,1.7,-2470,-8.6,-5,-0.7
